unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-tables-graphs,v1,seed,1,"표: 사과 4개, 배 2개, 포도 3개. 가장 많은 것은?",사과,배,포도,모두 같음,1,사과가 4개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:4:2:3:0
grade2-tables-graphs,v1,seed,2,"표: 사과 5개, 배 3개, 포도 1개. 가장 많은 것은?",배,사과,포도,모두 같음,2,사과가 5개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:5:3:1:0
grade2-tables-graphs,v1,seed,3,"표: 사과 2개, 배 6개, 포도 4개. 가장 많은 것은?",사과,포도,배,모두 같음,3,배가 6개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:2:6:4:1
grade2-tables-graphs,v1,seed,4,"표: 사과 7개, 배 3개, 포도 5개. 가장 많은 것은?",배,포도,모두 같음,사과,4,사과가 7개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:7:3:5:0
grade2-tables-graphs,v1,seed,5,"표: 사과 3개, 배 4개, 포도 6개. 가장 많은 것은?",포도,사과,배,모두 같음,1,포도가 6개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:3:4:6:2
grade2-tables-graphs,v1,seed,6,"표: 사과 6개, 배 2개, 포도 5개. 가장 많은 것은?",배,사과,포도,모두 같음,2,사과가 6개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:6:2:5:0
grade2-tables-graphs,v1,seed,7,"표: 사과 4개, 배 7개, 포도 3개. 가장 많은 것은?",배,사과,포도,모두 같음,1,배가 7개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:4:7:3:1
grade2-tables-graphs,v1,seed,8,"표: 사과 5개, 배 1개, 포도 4개. 가장 많은 것은?",배,사과,포도,모두 같음,2,사과가 5개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:5:1:4:0
grade2-tables-graphs,v1,seed,9,"표: 사과 3개, 배 6개, 포도 2개. 가장 많은 것은?",사과,포도,배,모두 같음,3,배가 6개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:3:6:2:1
grade2-tables-graphs,v1,seed,10,"표: 사과 8개, 배 4개, 포도 5개. 가장 많은 것은?",배,포도,모두 같음,사과,4,사과가 8개로 세 항목 중 가장 많습니다.,1,find-most-least-category,reviewed,data-max:8:4:5:0
grade2-tables-graphs,v1,leaf,1,"표: 빨강 4명, 파랑 2명, 초록 3명. 조사한 사람은 모두 몇 명입니까?",9명,10명,8명,19명,1,4+2+3=9이므로 모두 9명입니다.,1,read-data-table,reviewed,data-total:4:2:3:9
grade2-tables-graphs,v1,leaf,2,"표: 빨강 5명, 파랑 3명, 초록 1명. 조사한 사람은 모두 몇 명입니까?",10명,9명,8명,19명,2,5+3+1=9이므로 모두 9명입니다.,1,read-data-table,reviewed,data-total:5:3:1:9
