skill_code,subject_code,display_name,description
make-ten.compose,math,10 만들기,두 수를 모아 10을 구성합니다.
build-second-largest-number,math,두 번째로 큰 세 자리 수 만들기,
build-smallest-number-above-bound,math,조건보다 큰 가장 작은 수 만들기,
compare-after-swapping-digits,math,자리 숫자를 바꾼 수 비교,
compare-three-digit-numbers,math,세 자리 수 비교,
complete-number-sequence,math,수 배열 완성,
compose-three-digit-number,math,세 자리 수 구성,
correct-comparison-order-error,math,수 비교 순서 오류 바로잡기,
correct-zero-place-value-error,math,0의 자릿값 오류 바로잡기,
decompose-three-digit-number,math,세 자리 수 분해,
exchange-ten-bundles-for-hundred,math,십 묶음을 백 묶음으로 교환,
find-predecessor-successor,math,바로 앞수와 바로 뒷수 찾기,
identify-place-value,math,자릿값 식별,
infer-digit-after-swap-comparison,math,자리 교환 비교로 숫자 추론,
infer-number-from-digit-relations,math,숫자 관계로 수 추론,
infer-number-from-place-conditions,math,자릿값 조건으로 수 추론,
order-three-digit-numbers,math,세 자리 수 순서 정하기,
read-three-digit-number,math,세 자리 수 읽기,
recognize-equivalent-bundle-expression,math,같은 묶음 표현 찾기,
represent-hundreds-tens-ones,math,백·십·일로 수 나타내기,
understand-zero-placeholder,math,빈 자릿값의 0 이해,
value-of-digit,math,숫자가 나타내는 값,
write-three-digit-number,math,세 자리 수 쓰기,
