unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-multiplication-meaning,v1,seed,1,"사탕이 접시마다 3개씩 놓여 있습니다. 모든 접시에 같은 수씩 놓인 모습은?","접시마다 3개씩","한 접시에는 2개이고 다른 접시에는 3개","접시마다 개수가 다름","사탕을 모두 한 접시에 놓음",1,"접시마다 사탕이 3개로 같으므로 3개씩 묶인 모습입니다.",1,identify-equal-groups,reviewed,"같은 수 묶음 인식 검토"
grade2-multiplication-meaning,v1,seed,2,"연필이 한 묶음에 2자루씩 있고 이런 묶음이 4개 있습니다. 묶음 수는?","2묶음","4묶음","6묶음","8묶음",2,"한 묶음에는 2자루가 있고 같은 묶음이 4개이므로 묶음 수는 4입니다.",1,count-equal-groups,reviewed,"한 묶음 수와 묶음 수 구분 검토"
grade2-multiplication-meaning,v1,seed,3,"별이 한 줄에 4개씩 있고 3줄 있습니다. 같은 수를 더한 식은?","3+3+3+3","4+3","4+4+4","4+4+3",3,"한 줄의 별 4개를 줄 수 3번 더하므로 4+4+4입니다.",1,connect-repeated-addition-to-multiplication,reviewed,"반복 덧셈 항과 묶음 수 검토"
grade2-multiplication-meaning,v1,seed,4,"한 봉지에 귤이 5개씩 있고 2봉지 있습니다. '몇씩 몇 묶음'으로 나타낸 것은?","2씩 5묶음","5씩 5묶음","2씩 2묶음","5씩 2묶음",4,"한 봉지의 귤이 5개이고 봉지가 2개이므로 5씩 2묶음입니다.",1,count-equal-groups,reviewed,"묶음 표현 방향 검토"
grade2-multiplication-meaning,v1,seed,5,"2+2+2+2를 같은 수씩 묶은 말로 나타낸 것은?","2씩 4묶음","4씩 2묶음","2씩 2묶음","4씩 4묶음",1,"2를 네 번 더했으므로 한 묶음에 2개씩 4묶음입니다.",1,connect-repeated-addition-to-multiplication,reviewed,"덧셈 항 개수 검토"
grade2-multiplication-meaning,v1,seed,6,"공이 상자마다 3개씩 있고 상자가 5개 있습니다. 한 묶음의 수는?","5개","3개","8개","15개",2,"상자 하나가 한 묶음이므로 한 묶음의 공은 3개입니다.",1,count-equal-groups,reviewed,"한 묶음 수 식별 검토"
grade2-multiplication-meaning,v1,seed,7,"다음 중 같은 수씩 묶여 있어 곱셈으로 나타내기 알맞은 것은?","한 접시에 2개, 다른 접시에 3개인 빵","봉지마다 개수가 다른 구슬","쟁반 4개에 쿠키가 각각 3개씩 있음","연필 7자루를 크기가 다르게 늘어놓음",3,"쟁반마다 쿠키가 3개로 같고 이런 쟁반이 4개이므로 같은 수씩 묶였습니다.",1,identify-equal-groups,reviewed,"유일한 같은 수 묶음 검토"
grade2-multiplication-meaning,v1,seed,8,"6씩 2묶음을 반복 덧셈으로 나타낸 것은?","2+2+2+2+2+2","6+2","6+6+2","6+6",4,"한 묶음의 수 6을 묶음 수 2번 더하므로 6+6입니다.",1,connect-repeated-addition-to-multiplication,reviewed,"반복 덧셈 방향 검토"
grade2-multiplication-meaning,v1,seed,9,"한 줄에 의자가 2개씩 있고 5줄 있습니다. 알맞은 설명은?","2씩 5묶음","5씩 2묶음","2와 5를 한 묶음","7씩 1묶음",1,"한 줄의 의자 2개가 한 묶음이고 줄이 5개이므로 2씩 5묶음입니다.",1,count-equal-groups,reviewed,"배열의 묶음 단위 검토"
grade2-multiplication-meaning,v1,seed,10,"4+4+4에서 더해지는 같은 수와 그 수를 더한 횟수는?","같은 수 3, 횟수 4","같은 수 4, 횟수 3","같은 수 4, 횟수 4","같은 수 12, 횟수 1",2,"4가 세 번 더해졌으므로 같은 수는 4이고 더한 횟수는 3입니다.",1,connect-repeated-addition-to-multiplication,reviewed,"항의 값과 개수 구분 검토"
grade2-multiplication-meaning,v1,leaf,1,"이 단원에서는 '3씩 4묶음'을 한 묶음의 수 × 묶음 수로 씁니다. 알맞은 곱셈식은?","4×3","3+4","3×4","4+4+4",3,"한 묶음의 수 3을 앞에, 묶음 수 4를 뒤에 써서 3×4로 나타냅니다.",1,represent-equal-groups-as-multiplication,reviewed,"단원 곱셈 방향 명시"
grade2-multiplication-meaning,v1,leaf,2,"한 접시에 딸기가 4개씩 있고 접시가 3개 있습니다. 알맞은 곱셈식은?","3×4","4+3","3+3+3+3","4×3",4,"한 묶음의 수 4를 앞에, 접시 수 3을 뒤에 써서 4×3입니다.",1,model-multiplication-situation,reviewed,"생활 상황 방향 검토"
grade2-multiplication-meaning,v1,leaf,3,"5+5+5+5를 곱셈식으로 나타낸 것은?","5×4","4×5","5×5","4×4",1,"5를 네 번 더했으므로 5씩 4묶음이고 곱셈식은 5×4입니다.",1,connect-repeated-addition-to-multiplication,reviewed,"반복 덧셈 곱셈 변환 검토"
grade2-multiplication-meaning,v1,leaf,4,"2×6이 뜻하는 것은?","6씩 2묶음","2씩 6묶음","2와 6을 더한 것","6개를 한 묶음으로만 둔 것",2,"앞 수 2는 한 묶음의 수이고 뒤 수 6은 묶음 수이므로 2씩 6묶음입니다.",1,interpret-multiplication-expression,reviewed,"곱셈식 두 수 의미 검토"
grade2-multiplication-meaning,v1,leaf,5,"바구니 4개에 사과가 3개씩 있습니다. 3×4에서 4가 뜻하는 것은?","사과의 전체 수","한 바구니의 사과 수","바구니의 수","사과와 바구니의 차",3,"3×4의 뒤 수 4는 같은 묶음인 바구니가 4개라는 뜻입니다.",1,interpret-multiplication-expression,reviewed,"뒤 수 의미 검토"
grade2-multiplication-meaning,v1,leaf,6,"6×3에 알맞은 상황은?","상자 6개에 공이 3개씩 있음","상자마다 공의 수가 다름","공 6개와 상자 3개를 한곳에 둠","상자 3개에 공이 6개씩 있음",4,"6×3은 한 묶음에 6개씩 3묶음이므로 상자 3개에 공이 6개씩 있는 상황입니다.",1,model-multiplication-situation,reviewed,"상황 역연결 방향 검토"
grade2-multiplication-meaning,v1,leaf,7,"한 줄에 화분이 5개씩 있고 3줄 있습니다. 반복 덧셈과 곱셈식이 모두 알맞은 것은?","5+5+5, 5×3","3+3+3+3+3, 5×3","5+3, 3×5","5+5, 5×2",1,"한 줄의 5개를 줄 수 3번 더한 5+5+5이고 곱셈식은 5×3입니다.",1,connect-repeated-addition-to-multiplication,reviewed,"두 표현 동시 일치 검토"
grade2-multiplication-meaning,v1,leaf,8,"4×2를 읽고 뜻을 바르게 말한 것은?","사 곱하기 이는 2씩 4묶음입니다.","사 곱하기 이는 4씩 2묶음입니다.","사 곱하기 이는 4와 2를 이어 쓴 수입니다.","사 곱하기 이는 4씩 4묶음입니다.",2,"4×2는 '사 곱하기 이'라고 읽고 4씩 2묶음을 뜻합니다.",1,interpret-multiplication-expression,reviewed,"읽기와 의미 동시 검토"
grade2-multiplication-meaning,v1,leaf,9,"공책을 2권씩 4명에게 나누어 줍니다. 알맞은 곱셈식은?","4×2","2+4","2×4","4×4",3,"한 사람에게 주는 2권이 한 묶음이고 사람이 4명이므로 2×4입니다.",1,model-multiplication-situation,reviewed,"분배 상황 방향 검토"
grade2-multiplication-meaning,v1,leaf,10,"3×5에서 3이 뜻하는 것은?","묶음 수","전체 수","더한 결과","한 묶음의 수",4,"곱셈식의 앞 수 3은 한 묶음에 들어 있는 수를 뜻합니다.",1,interpret-multiplication-expression,reviewed,"앞 수 의미 검토"
