unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-classification,v1,seed,1,"사과, 딸기, 수박을 한 모둠으로 묶었습니다. 알맞은 기준은?","과일","탈것","학용품","동물",1,"사과와 딸기와 수박은 모두 과일이므로 과일이라는 기준으로 묶었습니다.",1,identify-classification-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,2,"빨간 공, 빨간 연필, 빨간 모자를 한 모둠으로 묶었습니다. 알맞은 기준은?","동그란 것","빨간색인 것","먹을 수 있는 것","나무로 만든 것",2,"세 물건은 모양과 쓰임은 다르지만 모두 빨간색입니다.",1,identify-classification-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,3,"'네모 모양인 것' 모둠에 들어갈 것은?","동그란 접시","세모 깃발","네모난 책","공 모양 풍선",3,"책은 앞면이 네모 모양이므로 주어진 모둠에 들어갑니다.",1,classify-by-given-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,4,"'학교에서 쓰는 물건' 모둠에 들어갈 것은?","프라이팬","베개","칫솔","공책",4,"공책은 학교에서 공부할 때 쓰는 물건입니다.",1,classify-by-given-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,5,"2, 4, 6, 8을 한 모둠으로 묶었습니다. 알맞은 기준은?","짝수","홀수","10보다 큰 수","한 자리 홀수",1,"2와 4와 6과 8은 모두 2로 나누어떨어지는 짝수입니다.",1,identify-classification-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,6,"'날개가 있는 동물' 모둠에 들어갈 것은?","고양이","참새","토끼","거북",2,"참새는 날개가 있는 동물이고 나머지 동물은 날개가 없습니다.",1,classify-by-given-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,7,"'물에 뜨는 물건'을 찾는 실험 결과에 따라 모둠에 넣을 것은?","물속에 가라앉은 쇠구슬","물속에 가라앉은 돌","물 위에 뜬 나무토막","물속에 가라앉은 유리구슬",3,"실험에서 물 위에 뜬 나무토막만 '물에 뜨는 물건' 모둠에 들어갑니다.",1,classify-by-given-rule,reviewed,"관찰 결과를 명시하여 생활 상식 해석 차단"
grade2-classification,v1,seed,8,"'먹을 수 있는 것' 모둠에 들어갈 것은?","자","우산","비누","바나나",4,"바나나는 먹을 수 있는 과일입니다.",1,classify-by-given-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,9,"연필, 지우개, 자를 한 모둠으로 묶었습니다. 알맞은 기준은?","학용품","과일","악기","옷",1,"연필과 지우개와 자는 모두 공부할 때 쓰는 학용품입니다.",1,identify-classification-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,seed,10,"'10보다 큰 수' 모둠에 들어갈 것은?","7","13","10","4",2,"13은 10보다 크고 나머지 수는 10보다 크지 않습니다.",1,classify-by-given-rule,reviewed,"분류 기준 단일성 및 아이 관점 검토 완료"
grade2-classification,v1,leaf,1,"단추를 '빨간색/파란색'으로 나누는 기준과 '큰 것/작은 것'으로 나누는 기준을 비교했습니다. 색깔별 단추 수를 알고 싶을 때 알맞은 기준은?","단추의 재료","단추의 구멍 수","단추의 색깔","단추의 크기",3,"색깔별 수를 알려면 빨간색과 파란색처럼 색깔을 기준으로 나누어야 합니다.",1,compare-classification-rules,reviewed,"목적을 명시하여 복수 기준 정답 차단"
grade2-classification,v1,leaf,2,"책을 '동화책/과학책'과 '큰 책/작은 책'으로 나눌 수 있습니다. 책의 내용을 찾기 쉽게 정리하려면 알맞은 기준은?","책의 두께","책의 색깔","책의 크기","책의 내용",4,"읽고 싶은 내용을 찾기 쉽게 하려면 동화책과 과학책처럼 내용으로 나누는 것이 알맞습니다.",1,compare-classification-rules,reviewed,"목적을 명시하여 복수 기준 정답 차단"
grade2-classification,v1,leaf,3,"1모둠은 2, 4, 6이고 2모둠은 1, 3, 5입니다. 사용한 기준은?","짝수와 홀수","큰 수와 작은 수","한 자리 수와 두 자리 수","5보다 큰 수와 작은 수",1,"1모둠은 짝수이고 2모둠은 홀수이므로 짝수와 홀수로 나누었습니다.",1,infer-rule-from-groups,reviewed,"모든 항목을 대조하여 기준 단일성 확인"
