unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-multiplication-tables,v1,seed,1,2×3의 값은 얼마입니까?,6,5,8,9,1,2를 3번 더하면 2+2+2=6이므로 2×3=6입니다.,1,multiply-by-2,reviewed,2단 직접 계산
grade2-multiplication-tables,v1,seed,2,5×4의 값은 얼마입니까?,25,20,15,9,2,5를 4번 더하면 5+5+5+5=20이므로 5×4=20입니다.,1,multiply-by-5,reviewed,5단 직접 계산
grade2-multiplication-tables,v1,seed,3,2×7의 알맞은 곱은?,12,16,14,9,3,2씩 7묶음은 2를 7번 더한 14이므로 2×7=14입니다.,1,multiply-by-2,reviewed,2단 인접 결과 오답
grade2-multiplication-tables,v1,seed,4,5×6을 바르게 계산한 것은?,25,35,11,30,4,5씩 6묶음은 30이므로 5×6=30입니다.,1,multiply-by-5,reviewed,5단 덧셈 혼동 오답
grade2-multiplication-tables,v1,seed,5,2×4=8 다음에 이어지는 2단 식은?,2×5=10,2×5=8,2×6=10,2×4=10,1,묶음 수가 하나 늘면 2만큼 커지므로 2×5=10입니다.,1,identify-multiplication-table-pattern,reviewed,2단 규칙
grade2-multiplication-tables,v1,seed,6,5×8의 값은 얼마입니까?,35,40,45,13,2,5를 8번 더한 값은 40이므로 5×8=40입니다.,1,multiply-by-5,reviewed,5단 직접 계산
grade2-multiplication-tables,v1,seed,7,2×9의 계산 결과는?,16,20,18,11,3,2씩 9묶음은 18이므로 2×9=18입니다.,1,multiply-by-2,reviewed,2단 직접 계산
grade2-multiplication-tables,v1,seed,8,5×7에 알맞은 값은?,30,40,12,35,4,5씩 7묶음은 35이므로 5×7=35입니다.,1,multiply-by-5,reviewed,5단 인접 결과 오답
grade2-multiplication-tables,v1,seed,9,2×6을 바르게 계산한 것은?,12,10,14,8,1,2를 6번 더하면 12이므로 2×6=12입니다.,1,multiply-by-2,reviewed,2단 직접 계산
grade2-multiplication-tables,v1,seed,10,5×9의 값은 얼마입니까?,40,45,50,14,2,5를 9번 더한 값은 45이므로 5×9=45입니다.,1,multiply-by-5,reviewed,5단 직접 계산
grade2-multiplication-tables,v1,leaf,1,3×4의 값은 얼마입니까?,12,9,16,7,1,3을 4번 더하면 3+3+3+3=12이므로 3×4=12입니다.,1,multiply-by-3,reviewed,3단 직접 계산
grade2-multiplication-tables,v1,leaf,2,4×6을 바르게 계산한 것은?,20,24,28,10,2,4씩 6묶음은 24이므로 4×6=24입니다.,1,multiply-by-4,reviewed,4단 직접 계산
grade2-multiplication-tables,v1,leaf,3,3×□=21에서 □에 알맞은 수는?,6,8,7,9,3,3×7=21이므로 빈칸에는 7이 들어갑니다.,1,infer-missing-multiplication-factor,reviewed,3단 빈칸
grade2-multiplication-tables,v1,leaf,4,4×5와 3×6의 크기를 바르게 비교한 것은?,4×5<3×6,4×5=3×6,20<18,4×5>3×6,4,4×5=20이고 3×6=18이므로 4×5가 더 큽니다.,1,compare-multiplication-products,reviewed,3단 4단 비교
grade2-multiplication-tables,v1,leaf,5,연필을 한 사람에게 3자루씩 8명에게 줍니다. 필요한 연필 수를 구하는 식과 답은?,3×8=24,8×3=24,3+8=11,3×7=21,1,한 묶음의 수 3을 앞에 쓰고 사람 수 8을 뒤에 써서 3×8=24입니다.,1,model-multiplication-situation,reviewed,3단 생활 상황 방향
grade2-multiplication-tables,v1,leaf,6,4×7에 알맞은 상황은?,바구니 4개에 사과가 7개씩 있음,바구니 7개에 사과가 4개씩 있음,사과 4개와 7개를 더함,바구니마다 사과 수가 다름,2,4×7은 한 묶음에 4개씩 7묶음이므로 바구니 7개에 사과가 4개씩 있는 상황입니다.,1,model-multiplication-situation,reviewed,4단 식에서 상황 방향
grade2-multiplication-tables,v1,leaf,7,3×5=15에서 묶음 수가 하나 늘어난 식은?,3×4=12,3×5=18,3×6=18,3×6=15,3,묶음 수가 5에서 6으로 하나 늘면 곱은 3만큼 커져 3×6=18입니다.,1,identify-multiplication-table-pattern,reviewed,3단 규칙
grade2-multiplication-tables,v1,leaf,8,4×□=32에서 □에 알맞은 수는?,6,7,9,8,4,4×8=32이므로 빈칸에는 8이 들어갑니다.,1,infer-missing-multiplication-factor,reviewed,4단 빈칸
