unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-four-digit-numbers,v1,seed,1,"백 묶음이 10개 모인 수는?","1000","100","110","10000",1,"백 묶음 10개는 100을 10번 모은 것이므로 1000입니다.",1,understand-thousands,reviewed,"1000의 의미 검토"
grade2-four-digit-numbers,v1,seed,2,"1000이 3개 모인 수는?","300","3000","1030","1003",2,"1000이 3개이면 1000+1000+1000이므로 3000입니다.",1,understand-thousands,reviewed,"천 단위 묶음 검토"
grade2-four-digit-numbers,v1,seed,3,"3247을 바르게 읽은 것은?","삼천이백칠십사","삼백이십사","삼천이백사십칠","삼천사백이십칠",3,"3247은 3000과 200과 40과 7로 이루어져 삼천이백사십칠이라고 읽습니다.",1,read-four-digit-number,reviewed,"기본 읽기 검토"
grade2-four-digit-numbers,v1,seed,4,"사천오백육십이를 숫자로 쓴 것은?","456","40562","4652","4562",4,"사천은 4000, 오백은 500, 육십은 60, 이는 2이므로 4562입니다.",1,write-four-digit-number,reviewed,"기본 쓰기 검토"
grade2-four-digit-numbers,v1,seed,5,"5821에서 천의 자리 숫자는?","5","8","2","1",1,"5821의 천의 자리는 가장 왼쪽 자리이고 그 숫자는 5입니다.",1,identify-place-value,reviewed,"천의 자리 식별 검토"
grade2-four-digit-numbers,v1,seed,6,"4726에서 백의 자리 숫자 7이 나타내는 값은?","70","700","7000","7",2,"7은 백의 자리에 있으므로 7백, 즉 700을 나타냅니다.",1,value-of-digit,reviewed,"숫자와 자릿값 구분 검토"
grade2-four-digit-numbers,v1,seed,7,"천이 6개, 백이 3개, 십이 2개, 일이 5개인 수는?","632","6253","6325","6352",3,"6000+300+20+5를 합하면 6325입니다.",1,represent-four-digit-place-units,reviewed,"자리 단위 구성 검토"
grade2-four-digit-numbers,v1,seed,8,"7010을 바르게 읽은 것은?","칠천백","칠백십","칠천일","칠천십",4,"7010은 천이 7개, 백이 0개, 십이 1개, 일이 0개이므로 칠천십이라고 읽습니다.",1,read-four-digit-number,reviewed,"0 포함 읽기 검토"
grade2-four-digit-numbers,v1,seed,9,"3052에서 0은 어느 자리에 있습니까?","백의 자리","천의 자리","십의 자리","일의 자리",1,"3052는 천의 자리 3, 백의 자리 0, 십의 자리 5, 일의 자리 2로 이루어집니다.",1,understand-zero-placeholder,reviewed,"가운데 0 자리 검토"
grade2-four-digit-numbers,v1,seed,10,"오천육을 숫자로 쓴 것은?","5060","5006","5600","506",2,"오천육은 5000과 6을 합한 수이므로 백과 십의 자리에 0을 써서 5006입니다.",1,write-four-digit-number,reviewed,"0 두 자리 쓰기 검토"
grade2-four-digit-numbers,v1,leaf,1,"4020을 천·백·십·일로 나타낸 것은?","천 4개, 백 2개","천 4개, 일 2개","천 4개, 백 0개, 십 2개, 일 0개","천 4개, 백 2개, 십 0개, 일 0개",3,"4020은 천 4개, 백 0개, 십 2개, 일 0개로 이루어집니다.",1,represent-four-digit-place-units,reviewed,"0 포함 자리 단위 검토"
grade2-four-digit-numbers,v1,leaf,2,"6000+300+40+8을 하나의 수로 나타낸 것은?","6380","6048","6340","6348",4,"천 백 십 일의 값을 각 자리에 놓으면 6348입니다.",1,compose-four-digit-number,reviewed,"표준 구성 검토"
grade2-four-digit-numbers,v1,leaf,3,"7254를 바르게 분해한 것은?","7000+200+50+4","700+20+50+4","7000+20+500+4","7000+200+5+40",1,"7254의 각 자리 값은 7000, 200, 50, 4이므로 이 값을 모두 더합니다.",1,decompose-four-digit-number,reviewed,"표준 분해 검토"
grade2-four-digit-numbers,v1,leaf,4,"5006을 바르게 분해한 것은?","5000+60","5000+6","5000+600","500+6",2,"5006은 천의 자리 값 5000과 일의 자리 값 6으로 이루어지고 백과 십의 값은 0입니다.",1,decompose-four-digit-number,reviewed,"0 포함 분해 검토"
grade2-four-digit-numbers,v1,leaf,5,"다음 중 더 큰 수는? 4321, 3987","3987","두 수가 같습니다.","4321","비교할 수 없습니다.",3,"천의 자리에서 4가 3보다 크므로 4321이 더 큽니다.",1,compare-four-digit-numbers,reviewed,"천의 자리 비교 검토"
grade2-four-digit-numbers,v1,leaf,6,"5608과 5630의 크기를 바르게 비교한 것은?","5608>5630","5608=5630","비교할 수 없음","5608<5630",4,"천과 백의 자리는 같고 십의 자리에서 0이 3보다 작으므로 5608<5630입니다.",1,compare-four-digit-numbers,reviewed,"앞자리 같은 비교 검토"
grade2-four-digit-numbers,v1,leaf,7,"1998 다음에 오는 수는?","1999","2000","1997","2098",1,"1998에 1을 더하면 1999이므로 바로 다음 수는 1999입니다.",1,complete-number-sequence,reviewed,"천 경계 전 순서 검토"
grade2-four-digit-numbers,v1,leaf,8,"3999 다음에 오는 수는?","3998","4000","4099","4999",2,"3999에 1을 더하면 천의 자리가 바뀌어 4000이 됩니다.",1,complete-number-sequence,reviewed,"천 경계 순서 검토"
grade2-four-digit-numbers,v1,leaf,9,"9□42에서 □가 백의 자리 숫자라면 □에 5를 넣은 수는?","9452","9052","9542","9524",3,"9□42의 백의 자리에 5를 넣으면 천 9, 백 5, 십 4, 일 2인 9542입니다.",1,infer-number-from-place-conditions,reviewed,"빈 자리 숫자 검토"
grade2-four-digit-numbers,v1,leaf,10,"8000+70+1을 숫자로 나타낸 것은?","8070","8701","80071","8071",4,"8000과 70과 1을 각 자리에 놓고 백의 자리에는 0을 써서 8071입니다.",1,compose-four-digit-number,reviewed,"0 포함 구성 검토"
grade2-four-digit-numbers,v1,tree,1,"작은 수부터 차례로 나열한 것은? 3205, 3025, 3250","3025, 3205, 3250","3205, 3025, 3250","3250, 3205, 3025","3025, 3250, 3205",1,"천의 자리는 모두 3이고 백의 자리와 그다음 자리를 비교하면 3025<3205<3250입니다.",1,order-four-digit-numbers,reviewed,"세 수 오름차순 검토"
grade2-four-digit-numbers,v1,tree,2,"큰 수부터 차례로 나열한 것은? 7010, 7100, 7001","7001, 7010, 7100","7100, 7010, 7001","7010, 7100, 7001","7100, 7001, 7010",2,"천의 자리는 같고 백과 십의 자리를 비교하면 7100>7010>7001입니다.",1,order-four-digit-numbers,reviewed,"0 포함 내림차순 검토"
grade2-four-digit-numbers,v1,tree,3,"4□25가 4425보다 크고 4625보다 작을 때 □에 알맞은 숫자는?","4","6","5","2",3,"4425보다 크고 4625보다 작으려면 백의 자리 숫자는 4보다 크고 6보다 작은 5입니다.",1,infer-number-from-place-conditions,reviewed,"경계 조건 검토"
grade2-four-digit-numbers,v1,tree,4,"3, 0, 5, 8 숫자 카드를 한 번씩 사용하여 가장 큰 네 자리 수를 만든 것은?","8350","8053","8305","8530",4,"가장 큰 수를 만들려면 큰 숫자부터 천 백 십 일의 자리에 놓아 8530을 만듭니다.",1,build-four-digit-number-from-digits,reviewed,"가장 큰 수 구성 검토"
grade2-four-digit-numbers,v1,tree,5,"2, 0, 7, 4 숫자 카드를 한 번씩 사용하여 가장 작은 네 자리 수를 만든 것은?","2047","0247","2074","2407",1,"네 자리 수의 천의 자리에는 0을 쓸 수 없으므로 가장 작은 2를 앞에 놓고 나머지는 0,4,7 순서로 놓아 2047입니다.",1,build-four-digit-number-from-digits,reviewed,"0 포함 가장 작은 수 검토"
grade2-four-digit-numbers,v1,tree,6,"6□08이 6508보다 클 때 □에 들어갈 수 있는 가장 작은 숫자는?","4","6","5","0",2,"천의 자리는 같고 백의 자리 숫자가 5보다 커야 하므로 가장 작은 숫자는 6입니다.",1,infer-number-from-place-conditions,reviewed,"비교로 빈 숫자 추론 검토"
grade2-four-digit-numbers,v1,tree,7,"어떤 수는 천이 4개, 십이 3개, 일이 9개이고 백은 없습니다. 이 수는?","4093","4309","4039","40039",3,"천 4개는 4000, 십 3개는 30, 일 9개는 9이고 백의 자리에 0을 써서 4039입니다.",1,represent-four-digit-place-units,reviewed,"빠진 백 자리 검토"
grade2-four-digit-numbers,v1,tree,8,"수 배열 4980, 4990, 5000, □에서 같은 규칙으로 이어질 수는?","5001","5090","5100","5010",4,"10씩 커지는 배열이므로 5000 다음 수는 5010입니다.",1,complete-number-sequence,reviewed,"10씩 증가 천 경계 검토"
grade2-four-digit-numbers,v1,tree,9,"5402와 5042를 비교할 때 가장 먼저 다른 자리는?","백의 자리","천의 자리","십의 자리","일의 자리",1,"천의 자리 5는 같고 백의 자리에서 4와 0이 처음 다르므로 백의 자리를 비교합니다.",1,compare-four-digit-numbers,reviewed,"비교 순서 검토"
grade2-four-digit-numbers,v1,tree,10,"친구가 3052를 '삼천오백이십'이라고 읽었습니다. 잘못 읽은 까닭은?","천의 자리 3을 빠뜨려서","백의 자리 0을 5백으로 잘못 읽고 자리 순서를 바꾸어서","일의 자리 2를 십으로 읽지 않아서","3052는 읽을 수 없는 수라서",2,"3052는 백의 자리가 0이고 십의 자리가 5이며 일의 자리가 2이므로 삼천오십이라고 읽어야 합니다.",1,correct-zero-place-value-error,reviewed,"0 자리 읽기 오류 검토"
grade2-four-digit-numbers,v1,crown,1,"□205가 4205보다 크고 6205보다 작으며 천의 자리 숫자가 홀수일 때 가능한 수는?","5205","3205","4205","6205",1,"천의 자리 숫자는 4보다 크고 6보다 작은 홀수 5이므로 가능한 수는 5205입니다.",1,infer-number-from-place-conditions,reviewed,"복합 조건 검토"
grade2-four-digit-numbers,v1,crown,2,"1, 3, 0, 9를 한 번씩 사용해 3000보다 큰 가장 작은 수는?","3091","3019","3109","3190",2,"3000보다 크려면 천의 자리에 3을 놓고 남은 숫자를 작은 순서 0,1,9로 놓아 3019입니다.",1,build-four-digit-number-from-digits,reviewed,"경계보다 큰 최소 수 검토"
grade2-four-digit-numbers,v1,crown,3,"가장 큰 수부터 나열한 것은? 4020, 4200, 4002, 420","420, 4002, 4020, 4200","4020, 4200, 4002, 420","4200, 4020, 4002, 420","4200, 4002, 4020, 420",3,"네 자리 수가 세 자리 수보다 크고 네 자리 수끼리는 높은 자리부터 비교하여 4200>4020>4002>420입니다.",1,order-four-digit-numbers,reviewed,"세 자리 선수학습 연결 검토"
grade2-four-digit-numbers,v1,crown,4,"친구가 5074=5000+700+4라고 했습니다. 바르게 고친 설명은?","7은 백의 자리이므로 700이 맞습니다.","5074=500+70+4입니다.","0을 100으로 바꾸어야 합니다.","7은 십의 자리이므로 5074=5000+70+4입니다.",4,"5074에서 백의 자리는 0이고 7은 십의 자리이므로 5000+70+4로 분해합니다.",1,correct-zero-place-value-error,reviewed,"자릿값 오류 교정 검토"
grade2-four-digit-numbers,v1,crown,5,"2, 4, 6, 8을 한 번씩 사용하여 5000보다 작은 가장 큰 수는?","8642","4682","4862","4826",3,"5000보다 작으려면 천의 자리에 4를 놓고 나머지를 큰 순서 8,6,2로 놓아 4862입니다.",1,build-four-digit-number-from-digits,reviewed,"상한 아래 최대 수 검토"
grade2-four-digit-numbers,v1,crown,6,"4308<43□8이 되도록 □에 들어갈 수 있는 가장 작은 숫자는?","0","8","2","1",4,"천과 백의 자리는 같고 십의 자리에서 0보다 커야 하므로 가장 작은 숫자는 1입니다.",1,infer-number-from-place-conditions,reviewed,"비교 조건 최소 숫자 검토"
grade2-four-digit-numbers,v1,crown,7,"9080, 9008, 9800을 비교한 설명 중 잘못된 것은?","9080은 9008보다 작습니다.","9800이 가장 큽니다.","9008은 9080보다 작습니다.","세 수의 천의 자리 숫자는 모두 9입니다.",1,"천의 자리는 모두 9이고 백의 자리에서 9800이 가장 큽니다. 9080은 십의 자리 8이 있어 9008보다 큽니다.",1,correct-comparison-order-error,reviewed,"0 포함 비교 오류 검토"
grade2-four-digit-numbers,v1,crown,8,"어떤 수를 6000+□+20+5로 분해했습니다. 그 수가 6725라면 □는?","70","700","7","720",2,"6725는 6000+700+20+5이므로 백의 자리 값을 나타내는 □는 700입니다.",1,decompose-four-digit-number,reviewed,"분해식 빈 값 검토"
grade2-four-digit-numbers,v1,crown,9,"천의 자리 7, 일의 자리 6이고 백과 십의 자리 숫자의 합이 5인 가장 큰 수는?","7056","7416","7506","7526",3,"가장 크게 만들려면 백의 자리에 가능한 가장 큰 5를, 십의 자리에 0을 놓아 7506입니다.",1,infer-number-from-place-conditions,reviewed,"자리 합 조건 최대 수 검토"
grade2-four-digit-numbers,v1,crown,10,"수 카드 0, 2, 5, 7로 만든 네 자리 수 중 두 번째로 작은 수는?","2057","2507","2570","2075",4,"가장 작은 수는 2057이고 일의 자리 5와 7의 순서를 바꾼 2075가 두 번째로 작습니다.",1,build-four-digit-number-from-digits,reviewed,"두 번째 최소 수 검토"
