unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-measuring-length,v1,seed,1,"물체의 한쪽 끝을 자의 0cm 눈금에 맞추고 다른 끝이 6cm 눈금에 있습니다. 물체의 길이는?","6cm","5cm","7cm","8cm",1,"0cm에서 시작해 6cm 눈금에서 끝나므로 물체의 길이는 6cm입니다.",1,measure-length-with-ruler,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,2,"자의 3cm 눈금과 4cm 눈금 사이 한 칸의 길이는?","2cm","1cm","3cm","4cm",2,"4cm에서 3cm를 빼면 1cm이므로 두 눈금 사이 한 칸은 1cm입니다.",1,read-ruler-scale,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,3,"공책의 짧은 쪽 길이를 나타내기에 알맞은 단위는?","m","kg","cm","L",3,"공책처럼 작은 물체의 길이는 cm로 나타내는 것이 알맞습니다.",1,choose-length-unit,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,4,"교실 앞쪽에서 뒤쪽까지의 길이를 나타내기에 알맞은 단위는?","cm","kg","L","m",4,"교실처럼 긴 공간의 길이는 m로 나타내는 것이 알맞습니다.",1,choose-length-unit,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,5,"빨간 리본은 8cm이고 파란 리본은 5cm입니다. 더 긴 리본은?","8cm인 빨간 리본","5cm인 파란 리본","두 리본의 길이가 같습니다.","비교할 수 없습니다.",1,"8cm는 5cm보다 크므로 빨간 리본이 더 깁니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,6,"연필의 한쪽 끝을 자의 0cm 눈금에 맞추었더니 다른 끝이 9cm 눈금에 있습니다. 연필의 길이는?","8cm","9cm","10cm","0cm",2,"0cm에서 시작해 9cm 눈금에서 끝나므로 연필의 길이는 9cm입니다.",1,measure-length-with-ruler,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,7,"손가락 한 마디의 길이로 가장 알맞은 것은?","20m","20cm","2cm","2m",3,"손가락 한 마디는 작은 길이이므로 약 2cm가 알맞습니다.",1,estimate-length,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,8,"운동장의 긴 쪽 길이를 나타내기에 알맞은 단위는?","cm","kg","L","m",4,"운동장처럼 긴 곳의 길이는 m로 나타내는 것이 알맞습니다.",1,choose-length-unit,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,9,"자의 7cm 눈금 바로 위에 점이 찍혀 있습니다. 점이 나타내는 길이는?","7cm","6cm","8cm","9cm",1,"점이 7cm 눈금에 있으므로 점이 나타내는 길이는 7cm입니다.",1,read-ruler-scale,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,seed,10,"연필은 12cm이고 지우개는 4cm입니다. 더 긴 것은?","지우개","연필","두 물체의 길이가 같습니다.","비교할 수 없습니다.",2,"12cm는 4cm보다 크므로 연필이 더 깁니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,1,"막대의 한쪽 끝은 자의 2cm 눈금, 다른 끝은 9cm 눈금에 있습니다. 막대의 길이는?","9cm","11cm","7cm","2cm",3,"끝 눈금 9cm에서 시작 눈금 2cm를 빼면 7cm입니다.",1,measure-from-nonzero-start,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,2,"종이띠의 한쪽 끝은 자의 4cm 눈금, 다른 끝은 11cm 눈금에 있습니다. 종이띠의 길이는?","11cm","15cm","4cm","7cm",4,"끝 눈금 11cm에서 시작 눈금 4cm를 빼면 7cm입니다.",1,measure-from-nonzero-start,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,3,"빨간 끈은 14cm, 파란 끈은 9cm, 초록 끈은 12cm입니다. 가장 긴 끈은?","14cm인 빨간 끈","9cm인 파란 끈","12cm인 초록 끈","세 끈의 길이가 같습니다.",1,"14cm가 12cm와 9cm보다 크므로 빨간 끈이 가장 깁니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,4,"가 막대는 6cm, 나 막대는 5cm, 다 막대는 8cm입니다. 가장 짧은 막대는?","6cm인 가 막대","5cm인 나 막대","8cm인 다 막대","세 막대의 길이가 같습니다.",2,"5cm가 6cm와 8cm보다 작으므로 나 막대가 가장 짧습니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,5,"보통 연필 한 자루의 길이로 가장 알맞은 것은?","15m","1cm","15cm","150m",3,"연필 한 자루의 길이는 약 15cm로 어림하는 것이 알맞습니다.",1,estimate-length,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,6,"교실 문의 높이로 가장 알맞은 것은?","2cm","20cm","20m","2m",4,"교실 문의 높이는 사람의 키보다 조금 크므로 약 2m가 알맞습니다.",1,estimate-length,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,7,"자의 5cm 눈금에서 오른쪽으로 1cm씩 세 칸 이동한 눈금은?","8cm","6cm","7cm","9cm",1,"5cm에서 1cm씩 세 칸 이동하면 6cm, 7cm, 8cm 눈금에 차례로 닿습니다.",1,read-ruler-scale,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,8,"줄의 한쪽 끝을 자의 0cm 눈금에 맞추었더니 다른 끝이 13cm 눈금에 있습니다. 줄의 길이는?","12cm","13cm","14cm","0cm",2,"0cm에서 시작해 13cm 눈금에서 끝나므로 줄의 길이는 13cm입니다.",1,measure-length-with-ruler,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,9,"자의 눈금이 8cm, 9cm, 10cm, 11cm 순서로 있습니다. 화살표가 세 번째 눈금을 가리킬 때 나타내는 길이는?","8cm","9cm","10cm","11cm",3,"8cm부터 세 번째 눈금은 10cm이므로 화살표가 나타내는 길이는 10cm입니다.",1,read-ruler-scale,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,leaf,10,"창문의 너비가 약 1일 때 빈칸에 알맞은 단위는?","cm","kg","L","m",4,"창문의 너비는 약 1m로 나타내는 것이 알맞습니다.",1,choose-length-unit,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,1,"리본의 시작은 자의 3cm 눈금이고 끝은 14cm 눈금입니다. 리본의 길이는?","11cm","14cm","17cm","3cm",1,"끝 눈금 14cm에서 시작 눈금 3cm를 빼면 11cm입니다.",1,measure-from-nonzero-start,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,2,"빨대의 시작은 자의 7cm 눈금이고 끝은 16cm 눈금입니다. 빨대의 길이는?","23cm","9cm","16cm","7cm",2,"끝 눈금 16cm에서 시작 눈금 7cm를 빼면 9cm입니다.",1,measure-from-nonzero-start,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,3,"가 막대는 0cm부터 12cm까지, 나 막대는 2cm부터 15cm까지, 다 막대는 5cm부터 16cm까지 놓였습니다. 가장 긴 막대는?","가 막대","다 막대","나 막대","세 막대의 길이가 같습니다.",3,"가 막대는 12cm, 나 막대는 13cm, 다 막대는 11cm이므로 나 막대가 가장 깁니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,4,"가 막대는 2cm부터 10cm까지, 나 막대는 4cm부터 13cm까지, 다 막대는 6cm부터 12cm까지 놓였습니다. 가장 짧은 막대는?","8cm인 가 막대","9cm인 나 막대","세 막대의 길이가 같습니다.","6cm인 다 막대",4,"가 막대는 8cm, 나 막대는 9cm, 다 막대는 6cm이므로 다 막대가 가장 짧습니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,5,"테이프의 끝 눈금은 13cm이고 길이는 8cm입니다. 시작 눈금은?","5cm","8cm","13cm","21cm",1,"끝 눈금 13cm에서 길이 8cm를 빼면 시작 눈금은 5cm입니다.",1,infer-length-from-measurement,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,6,"끈의 시작 눈금은 4cm이고 길이는 9cm입니다. 끝 눈금은?","5cm","13cm","9cm","36cm",2,"시작 눈금 4cm에서 9cm만큼 이어지므로 끝 눈금은 13cm입니다.",1,infer-length-from-measurement,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,7,"부러진 자에서 물체의 양 끝이 6cm 눈금과 15cm 눈금에 있습니다. 물체의 길이는?","15cm","21cm","9cm","6cm",3,"끝 눈금 15cm에서 시작 눈금 6cm를 빼면 물체의 길이는 9cm입니다.",1,measure-from-nonzero-start,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,8,"어떤 물체의 길이는 7cm보다 길고 10cm보다 짧은 짝수입니다. 물체의 길이는?","7cm","9cm","10cm","8cm",4,"7cm보다 크고 10cm보다 작은 수 중 짝수는 8이므로 길이는 8cm입니다.",1,infer-length-from-measurement,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,9,"빨간 막대는 2cm부터 11cm까지, 파란 막대는 5cm부터 13cm까지 놓였습니다. 알맞은 비교는?","빨간 막대가 1cm 더 깁니다.","파란 막대가 1cm 더 깁니다.","두 막대의 길이가 같습니다.","비교할 수 없습니다.",1,"빨간 막대는 9cm이고 파란 막대는 8cm이므로 빨간 막대가 1cm 더 깁니다.",1,compare-lengths,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
grade2-measuring-length,v1,tree,10,"길이와 단위를 바르게 짝 지은 것은?","복도 12cm, 연필 18m","복도 12m, 연필 18cm","복도 12kg, 연필 18kg","복도 12L, 연필 18m",2,"복도처럼 긴 공간은 m, 연필처럼 작은 물체는 cm로 나타내는 것이 알맞습니다.",1,choose-length-unit,reviewed,"길이 측정 정확성 및 아이 관점 교차검토 완료"
