unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-patterns,v1,seed,1,"2, 5, 8, 11, □의 규칙에서 다음 수는?",14,15,13,24,1,앞 수에 3씩 더하므로 11+3=14입니다.,1,continue-increasing-pattern,reviewed,pattern-inc:2:3:14
grade2-patterns,v1,seed,2,"5, 7, 9, 11, □의 규칙에서 다음 수는?",14,13,12,23,2,앞 수에 2씩 더하므로 11+2=13입니다.,1,continue-increasing-pattern,reviewed,pattern-inc:5:2:13
grade2-patterns,v1,seed,3,"10, 15, 20, 25, □의 규칙에서 다음 수는?",31,29,30,40,3,앞 수에 5씩 더하므로 25+5=30입니다.,1,continue-increasing-pattern,reviewed,pattern-inc:10:5:30
grade2-patterns,v1,seed,4,"4, 8, 12, 16, □의 규칙에서 다음 수는?",21,19,30,20,4,앞 수에 4씩 더하므로 16+4=20입니다.,1,continue-increasing-pattern,reviewed,pattern-inc:4:4:20
grade2-patterns,v1,seed,5,"7, 10, 13, 16, □의 규칙에서 다음 수는?",19,20,18,29,1,앞 수에 3씩 더하므로 16+3=19입니다.,1,continue-increasing-pattern,reviewed,pattern-inc:7:3:19
grade2-patterns,v1,seed,6,"20, 18, 16, 14, □의 규칙에서 다음 수는?",13,12,11,22,2,앞 수에서 2씩 빼므로 14-2=12입니다.,1,continue-decreasing-pattern,reviewed,pattern-dec:20:2:12
grade2-patterns,v1,seed,7,"35, 30, 25, 20, □의 규칙에서 다음 수는?",15,16,14,25,1,앞 수에서 5씩 빼므로 20-5=15입니다.,1,continue-decreasing-pattern,reviewed,pattern-dec:35:5:15
grade2-patterns,v1,seed,8,"18, 15, 12, 9, □의 규칙에서 다음 수는?",7,6,5,16,2,앞 수에서 3씩 빼므로 9-3=6입니다.,1,continue-decreasing-pattern,reviewed,pattern-dec:18:3:6
grade2-patterns,v1,seed,9,"40, 36, 32, 28, □의 규칙에서 다음 수는?",25,23,24,34,3,앞 수에서 4씩 빼므로 28-4=24입니다.,1,continue-decreasing-pattern,reviewed,pattern-dec:40:4:24
grade2-patterns,v1,seed,10,"27, 24, 21, 18, □의 규칙에서 다음 수는?",16,14,25,15,4,앞 수에서 3씩 빼므로 18-3=15입니다.,1,continue-decreasing-pattern,reviewed,pattern-dec:27:3:15
grade2-patterns,v1,leaf,1,○ △ ○ △ ○ △ ○ 다음에 올 것은?,△,○,★,가,1,○ △가 반복되므로 다음에는 △이 옵니다.,1,identify-repeating-cycle,reviewed,pattern-cycle:○/△:7:△
grade2-patterns,v1,leaf,2,★ ★ □ ★ ★ □ ★ 다음에 올 것은?,○,★,가,빨강,2,★ ★ □가 반복되므로 다음에는 ★이 옵니다.,1,identify-repeating-cycle,reviewed,pattern-cycle:★/★/□:7:★
grade2-patterns,v1,leaf,3,가 나 다 가 나 다 가 다음에 올 것은?,○,★,나,가,3,가 나 다가 반복되므로 다음에는 나이 옵니다.,1,identify-repeating-cycle,reviewed,pattern-cycle:가/나/다:7:나
grade2-patterns,v1,leaf,4,빨강 파랑 빨강 파랑 빨강 파랑 빨강 다음에 올 것은?,○,★,가,파랑,4,빨강 파랑가 반복되므로 다음에는 파랑이 옵니다.,1,identify-repeating-cycle,reviewed,pattern-cycle:빨강/파랑:7:파랑
grade2-patterns,v1,leaf,5,1 2 2 1 2 2 1 다음에 올 것은?,○,★,2,가,3,1 2 2가 반복되므로 다음에는 2이 옵니다.,1,identify-repeating-cycle,reviewed,pattern-cycle:1/2/2:7:2
grade2-patterns,v1,leaf,6,"3, 7, □, 15에서 빈칸은?",7,15,12,11,4,4씩 커지는 규칙이므로 7+4=11입니다.,1,infer-missing-pattern-item,reviewed,pattern-missing-inc:3:4:11
