unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-three-digit-numbers,v1,seed,1,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,2,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,3,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,4,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,5,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,6,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,7,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,8,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,9,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,seed,10,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,1,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,2,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,3,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,4,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,5,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,6,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,7,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,8,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,9,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,leaf,10,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,1,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,2,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,3,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,4,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,5,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,6,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,7,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,8,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,9,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,tree,10,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,1,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,2,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,3,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,4,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,5,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,6,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,7,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,8,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,9,,,,,,,,1,,draft,
grade2-three-digit-numbers,v1,crown,10,,,,,,,,1,,draft,
grade2-shapes,v1,seed,1,,,,,,,,1,,draft,
grade2-shapes,v1,seed,2,,,,,,,,1,,draft,
grade2-shapes,v1,seed,3,,,,,,,,1,,draft,
grade2-shapes,v1,seed,4,,,,,,,,1,,draft,
grade2-shapes,v1,seed,5,,,,,,,,1,,draft,
grade2-shapes,v1,seed,6,,,,,,,,1,,draft,
grade2-shapes,v1,seed,7,,,,,,,,1,,draft,
grade2-shapes,v1,seed,8,,,,,,,,1,,draft,
grade2-shapes,v1,seed,9,,,,,,,,1,,draft,
grade2-shapes,v1,seed,10,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,1,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,2,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,3,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,4,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,5,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,6,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,7,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,8,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,9,,,,,,,,1,,draft,
grade2-shapes,v1,leaf,10,,,,,,,,1,,draft,
grade2-shapes,v1,tree,1,,,,,,,,1,,draft,
grade2-shapes,v1,tree,2,,,,,,,,1,,draft,
grade2-shapes,v1,tree,3,,,,,,,,1,,draft,
grade2-shapes,v1,tree,4,,,,,,,,1,,draft,
grade2-shapes,v1,tree,5,,,,,,,,1,,draft,
grade2-shapes,v1,tree,6,,,,,,,,1,,draft,
grade2-shapes,v1,tree,7,,,,,,,,1,,draft,
grade2-shapes,v1,tree,8,,,,,,,,1,,draft,
