unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-length-calculation,v1,seed,1,23cm와 14cm를 이어 붙였습니다. 전체 길이는 얼마입니까?,37cm,38cm,36cm,47cm,1,23cm+14cm=37cm이므로 전체 길이는 37cm입니다.,1,calculate-length-addition,reviewed,length-add:23:14:37:cm
grade2-length-calculation,v1,seed,2,35cm와 22cm를 이어 붙였습니다. 전체 길이는 얼마입니까?,58cm,57cm,56cm,67cm,2,35cm+22cm=57cm이므로 전체 길이는 57cm입니다.,1,calculate-length-addition,reviewed,length-add:35:22:57:cm
grade2-length-calculation,v1,seed,3,41cm와 27cm를 이어 붙였습니다. 전체 길이는 얼마입니까?,69cm,67cm,68cm,78cm,3,41cm+27cm=68cm이므로 전체 길이는 68cm입니다.,1,calculate-length-addition,reviewed,length-add:41:27:68:cm
grade2-length-calculation,v1,seed,4,56cm와 13cm를 이어 붙였습니다. 전체 길이는 얼마입니까?,70cm,68cm,79cm,69cm,4,56cm+13cm=69cm이므로 전체 길이는 69cm입니다.,1,calculate-length-addition,reviewed,length-add:56:13:69:cm
grade2-length-calculation,v1,seed,5,18cm와 25cm를 이어 붙였습니다. 전체 길이는 얼마입니까?,43cm,44cm,42cm,53cm,1,18cm+25cm=43cm이므로 전체 길이는 43cm입니다.,1,calculate-length-addition,reviewed,length-add:18:25:43:cm
grade2-length-calculation,v1,seed,6,48cm인 끈에서 15cm를 잘랐습니다. 남은 길이는 얼마입니까?,34cm,33cm,32cm,43cm,2,48cm-15cm=33cm이므로 남은 길이는 33cm입니다.,1,calculate-length-subtraction,reviewed,length-sub:48:15:33:cm
grade2-length-calculation,v1,seed,7,67cm인 끈에서 24cm를 잘랐습니다. 남은 길이는 얼마입니까?,43cm,44cm,42cm,53cm,1,67cm-24cm=43cm이므로 남은 길이는 43cm입니다.,1,calculate-length-subtraction,reviewed,length-sub:67:24:43:cm
grade2-length-calculation,v1,seed,8,59cm인 끈에서 18cm를 잘랐습니다. 남은 길이는 얼마입니까?,42cm,41cm,40cm,51cm,2,59cm-18cm=41cm이므로 남은 길이는 41cm입니다.,1,calculate-length-subtraction,reviewed,length-sub:59:18:41:cm
grade2-length-calculation,v1,seed,9,72cm인 끈에서 31cm를 잘랐습니다. 남은 길이는 얼마입니까?,42cm,40cm,41cm,51cm,3,72cm-31cm=41cm이므로 남은 길이는 41cm입니다.,1,calculate-length-subtraction,reviewed,length-sub:72:31:41:cm
grade2-length-calculation,v1,seed,10,86cm인 끈에서 42cm를 잘랐습니다. 남은 길이는 얼마입니까?,45cm,43cm,54cm,44cm,4,86cm-42cm=44cm이므로 남은 길이는 44cm입니다.,1,calculate-length-subtraction,reviewed,length-sub:86:42:44:cm
grade2-length-calculation,v1,leaf,1,12m 길의 다음에 7m 길이 이어집니다. 두 길의 전체 길이는?,19m,20m,18m,29m,1,12m+7m=19m이므로 전체 길이는 19m입니다.,1,solve-total-length,reviewed,length-add:12:7:19:m
grade2-length-calculation,v1,leaf,2,25m 길의 다음에 14m 길이 이어집니다. 두 길의 전체 길이는?,40m,39m,38m,49m,2,25m+14m=39m이므로 전체 길이는 39m입니다.,1,solve-total-length,reviewed,length-add:25:14:39:m
grade2-length-calculation,v1,leaf,3,31m 길의 다음에 16m 길이 이어집니다. 두 길의 전체 길이는?,48m,46m,47m,57m,3,31m+16m=47m이므로 전체 길이는 47m입니다.,1,solve-total-length,reviewed,length-add:31:16:47:m
grade2-length-calculation,v1,leaf,4,리본이 40cm 있었습니다. 13cm를 사용했다면 남은 길이는?,28cm,26cm,37cm,27cm,4,40cm-13cm=27cm이므로 남은 리본은 27cm입니다.,1,solve-remaining-length,reviewed,length-sub:40:13:27:cm
grade2-length-calculation,v1,leaf,5,리본이 52cm 있었습니다. 21cm를 사용했다면 남은 길이는?,32cm,30cm,31cm,41cm,3,52cm-21cm=31cm이므로 남은 리본은 31cm입니다.,1,solve-remaining-length,reviewed,length-sub:52:21:31:cm
grade2-length-calculation,v1,leaf,6,리본이 63cm 있었습니다. 28cm를 사용했다면 남은 길이는?,36cm,34cm,45cm,35cm,4,63cm-28cm=35cm이므로 남은 리본은 35cm입니다.,1,solve-remaining-length,reviewed,length-sub:63:28:35:cm
