unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-time,v1,seed,1,분침이 12을 가리키고 시침을 읽으면 2시입니다. 이 시각은?,2시 정각,2시 5분,3시 정각,2시 2분,1,"분침은 0분을, 시침은 2시를 나타내므로 2시 정각입니다.",1,read-clock-time,reviewed,time-read:2:0
grade2-time,v1,seed,2,분침이 6을 가리키고 시침을 읽으면 5시입니다. 이 시각은?,5시 35분,5시 30분,6시 30분,30시 5분,2,"분침은 30분을, 시침은 5시를 나타내므로 5시 30분입니다.",1,read-clock-time,reviewed,time-read:5:30
grade2-time,v1,seed,3,분침이 3을 가리키고 시침을 읽으면 7시입니다. 이 시각은?,7시 20분,8시 15분,7시 15분,15시 7분,3,"분침은 15분을, 시침은 7시를 나타내므로 7시 15분입니다.",1,read-clock-time,reviewed,time-read:7:15
grade2-time,v1,seed,4,분침이 9을 가리키고 시침을 읽으면 9시입니다. 이 시각은?,9시 50분,10시 45분,45시 9분,9시 45분,4,"분침은 45분을, 시침은 9시를 나타내므로 9시 45분입니다.",1,read-clock-time,reviewed,time-read:9:45
grade2-time,v1,seed,5,분침이 5을 가리키고 시침을 읽으면 11시입니다. 이 시각은?,11시 25분,11시 30분,12시 25분,25시 11분,1,"분침은 25분을, 시침은 11시를 나타내므로 11시 25분입니다.",1,read-clock-time,reviewed,time-read:11:25
grade2-time,v1,seed,6,분침이 숫자 1을 가리킬 때 지난 분은?,1분,5분,10분,0분,2,시계의 숫자 한 칸은 5분이므로 1×5=5분입니다.,1,use-five-minute-intervals,reviewed,time-five:1:5
grade2-time,v1,seed,7,분침이 숫자 3을 가리킬 때 지난 분은?,15분,3분,30분,10분,1,시계의 숫자 한 칸은 5분이므로 3×5=15분입니다.,1,use-five-minute-intervals,reviewed,time-five:3:15
grade2-time,v1,seed,8,분침이 숫자 6을 가리킬 때 지난 분은?,6분,30분,60분,25분,2,시계의 숫자 한 칸은 5분이므로 6×5=30분입니다.,1,use-five-minute-intervals,reviewed,time-five:6:30
grade2-time,v1,seed,9,분침이 숫자 8을 가리킬 때 지난 분은?,8분,80분,40분,35분,3,시계의 숫자 한 칸은 5분이므로 8×5=40분입니다.,1,use-five-minute-intervals,reviewed,time-five:8:40
grade2-time,v1,seed,10,분침이 숫자 10을 가리킬 때 지난 분은?,10분,100분,45분,50분,4,시계의 숫자 한 칸은 5분이므로 10×5=50분입니다.,1,use-five-minute-intervals,reviewed,time-five:10:50
