unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-addition-subtraction,v1,seed,1,"23+14의 값은?","37","27","36","47",1,"일의 자리 3+4=7, 십의 자리 2+1=3이므로 23+14=37입니다.",1,add-without-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,2,"42+35의 값은?","67","77","76","87",2,"일의 자리 2+5=7, 십의 자리 4+3=7이므로 42+35=77입니다.",1,add-without-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,3,"68-25의 값은?","33","42","43","53",3,"일의 자리 8-5=3, 십의 자리 6-2=4이므로 68-25=43입니다.",1,subtract-without-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,4,"94-32의 값은?","52","61","72","62",4,"일의 자리 4-2=2, 십의 자리 9-3=6이므로 94-32=62입니다.",1,subtract-without-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,5,"빨간 색종이가 21장이고 파란 색종이가 16장입니다. 모두 몇 장인가요?","37장","27장","36장","47장",1,"21장과 16장을 모으면 21+16=37이므로 모두 37장입니다.",1,model-addition-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,6,"연필 58자루 중 24자루를 쓰면 몇 자루가 남나요?","24자루","34자루","44자루","82자루",2,"58자루에서 24자루를 빼면 58-24=34이므로 34자루가 남습니다.",1,model-subtraction-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,7,"32명과 15명을 합한 수를 구하는 식은?","32-15=17","32+15=37","32+15=47","47-15=32",3,"'합한 수'는 덧셈으로 구하므로 32+15=47입니다.",1,model-addition-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,8,"76개 중 22개를 주고 남은 수를 구하는 식은?","76+22=98","76-22=44","76+22=88","76-22=54",4,"'남은 수'는 전체에서 준 수를 빼어 76-22=54로 구합니다.",1,model-subtraction-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,9,"34+25와 72-14를 비교한 것은?","34+25가 더 큽니다.","72-14가 더 큽니다.","두 결과가 같습니다.","비교할 수 없습니다.",1,"34+25=59이고 72-14=58이므로 34+25가 1만큼 더 큽니다.",1,compare-calculation-results,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,seed,10,"41+□=68일 때 □에 들어갈 수는?","17","27","37","109",2,"68-41=27이므로 41+27=68입니다.",1,find-missing-number,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,1,"27+38의 값은?","55","64","65","75",3,"7+8=15에서 5를 쓰고 1을 받아올리면 2+3+1=6이므로 65입니다.",1,add-with-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,2,"46+29의 값은?","65","74","85","75",4,"6+9=15에서 5를 쓰고 1을 받아올리면 4+2+1=7이므로 75입니다.",1,add-with-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,3,"52-28의 값은?","24","34","36","44",1,"2에서 8을 빼기 어려워 1십을 받아 12-8=4, 4-2=2이므로 24입니다.",1,subtract-with-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,4,"71-46의 값은?","15","25","35","45",2,"1에서 6을 빼기 어려워 1십을 받아 11-6=5, 6-4=2이므로 25입니다.",1,subtract-with-regrouping,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,5,"도서관에 동화책 38권과 과학책 27권이 있습니다. 두 종류의 책은 모두 몇 권인가요?","55권","64권","65권","75권",3,"38+27=65이므로 두 종류의 책은 모두 65권입니다.",1,model-addition-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,6,"공 83개 중 47개를 사용했습니다. 남은 공은 몇 개인가요?","26개","34개","46개","36개",4,"83-47=36이므로 남은 공은 36개입니다.",1,model-subtraction-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,7,"파란 구슬 26개와 노란 구슬 18개를 모았습니다. 알맞은 식은?","26+18=44","26-18=8","26+18=34","44-26=28",1,"두 묶음을 모았으므로 26+18=44입니다.",1,model-addition-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,8,"64장의 색종이 중 29장을 사용했습니다. 알맞은 식은?","64+29=93","64-29=35","64-29=45","64+29=83",2,"전체 64장에서 사용한 29장을 빼면 64-29=35입니다.",1,model-subtraction-situation,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,9,"47+26과 90-18을 비교한 것은?","90-18이 더 큽니다.","두 결과가 같습니다.","47+26이 더 큽니다.","비교할 수 없습니다.",3,"47+26=73이고 90-18=72이므로 47+26이 1만큼 더 큽니다.",1,compare-calculation-results,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
grade2-addition-subtraction,v1,leaf,10,"36+□=82일 때 □에 들어갈 수는?","36","44","56","46",4,"82-36=46이므로 36+46=82입니다.",1,find-missing-number,reviewed,"연산 정확성 및 아이 관점 교차검토 완료"
