unit_slug,content_version,stage,question_order,question_text,option_1,option_2,option_3,option_4,correct_option,explanation,weight,skill_code,review_status,review_note
grade2-shapes,v1,seed,1,곧은 선 3개로 둘러싸인 평면 모양은?,세모 모양,네모 모양,동그라미 모양,공 모양,1,세모 모양은 곧은 선 3개로 둘러싸여 있습니다.,1,identify-plane-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,2,곧은 선 4개로 둘러싸인 평면 모양은?,동그라미 모양,네모 모양,공 모양,통 모양,2,네모 모양은 곧은 선 4개로 둘러싸여 있습니다.,1,identify-plane-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,3,굽은 선으로 둘러싸이고 뾰족한 곳이 없는 평면 모양은?,세모 모양,네모 모양,동그라미 모양,상자 모양,3,동그라미 모양은 굽은 선으로 둘러싸이고 뾰족한 곳이 없습니다.,1,identify-plane-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,4,평면 모양이 아닌 것은?,세모 모양,네모 모양,동그라미 모양,공 모양,4,공 모양은 공간을 차지하는 입체 모양입니다.,1,identify-solid-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,5,축구공과 가장 닮은 입체 모양은?,공 모양,상자 모양,통 모양,세모 모양,1,축구공은 어느 쪽에서 보아도 둥근 공 모양과 닮았습니다.,1,connect-object-to-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,6,주사위와 가장 닮은 입체 모양은?,공 모양,상자 모양,통 모양,동그라미 모양,2,주사위는 평평한 네모 모양의 면들로 둘러싸인 상자 모양입니다.,1,connect-object-to-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,7,음료수 캔과 가장 닮은 입체 모양은?,상자 모양,공 모양,통 모양,네모 모양,3,음료수 캔은 위아래가 평평하고 옆이 굽은 통 모양입니다.,1,connect-object-to-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,8,입체 모양끼리 짝 지은 것은?,세모 모양과 네모 모양,네모 모양과 동그라미 모양,세모 모양과 공 모양,상자 모양과 공 모양,4,상자 모양과 공 모양은 모두 공간을 차지하는 입체 모양입니다.,1,classify-shapes,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,9,네모난 창문 테두리에서 찾을 수 있는 평면 모양은?,네모 모양,공 모양,통 모양,동그라미 모양,1,창문 테두리의 바깥선을 보면 네모 모양을 찾을 수 있습니다.,1,connect-object-to-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,seed,10,세모난 교통 표지판에서 찾을 수 있는 평면 모양은?,공 모양,세모 모양,통 모양,동그라미 모양,2,표지판의 바깥선이 곧은 선 3개로 이어져 세모 모양입니다.,1,connect-object-to-shape,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,1,세모 모양을 둘러싼 곧은 선은 몇 개인가요?,1개,2개,3개,4개,3,세모 모양은 곧은 선 3개로 둘러싸여 있습니다.,1,describe-shape-properties,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,2,네모 모양에서 두 곧은 선이 만나는 곳은 몇 개인가요?,1개,2개,3개,4개,4,네모 모양에는 두 곧은 선이 만나는 곳이 4개 있습니다.,1,describe-shape-properties,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,3,동그라미 모양의 특징으로 알맞은 것은?,곧은 선이 없습니다.,곧은 선이 3개입니다.,뾰족한 곳이 4개입니다.,평평한 면이 6개입니다.,1,동그라미 모양의 둘레는 굽은 선 하나로 이어져 있습니다.,1,describe-shape-properties,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,4,통 모양의 특징으로 알맞은 것은?,평평한 면만 있습니다.,평평한 면과 굽은 면이 있습니다.,굽은 면만 있습니다.,면이 없습니다.,2,통 모양에는 위아래의 평평한 면과 옆의 굽은 면이 있습니다.,1,describe-shape-properties,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,5,평면 모양만 모은 것은?,상자 모양과 공 모양,통 모양과 세모 모양,세모 모양과 동그라미 모양,공 모양과 네모 모양,3,세모 모양과 동그라미 모양은 모두 평면에서 찾는 모양입니다.,1,classify-shapes,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,6,입체 모양만 모은 것은?,세모 모양과 네모 모양,동그라미 모양과 공 모양,네모 모양과 통 모양,상자 모양과 통 모양,4,상자 모양과 통 모양은 모두 공간을 차지합니다.,1,classify-shapes,reviewed,수학 정확성 및 아이 관점 교차검토 완료
grade2-shapes,v1,leaf,7,나머지 셋과 종류가 다른 하나는?,공 모양,세모 모양,네모 모양,동그라미 모양,1,공 모양만 입체 모양이고 나머지는 평면 모양입니다.,1,classify-shapes,reviewed,수학 정확성 및 아이 관점 교차검토 완료
